"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IGKV2D-24",-3.62518612765949,2.83312351416112,-11.2726335051705,1.96031381410373e-26,3.73539833737164e-25,49.1177424324809
"ZNF667-AS1",-2.38519728403582,5.34738428929564,-11.2686373284297,2.03265440426095e-26,3.86974837576539e-25,49.0818686223272
"VAMP2",-1.87509498342281,10.0581778234523,-11.2673219810512,2.05704125900452e-26,3.9126445732589e-25,49.0700623615414
"IGHV3-35",-3.46884269195622,3.07399220652407,-11.2638016244082,2.12375012327606e-26,4.03589054958425e-25,49.038468472394
"TCP11L1",-1.72371955503889,7.84279331534514,-11.2634388340154,2.1307458878355e-26,4.0455403922594e-25,49.0352128979103
"APOBR",-2.64916434530246,10.3549530268357,-11.262332843813,2.15221464522538e-26,4.08262731352375e-25,49.0252884518584
"NLGN4X",-3.00268591074287,4.86783697958464,-11.2611002865794,2.17639372767471e-26,4.12478430292636e-25,49.0142289583587
"SYT5",-2.74786682414973,3.14805443950174,-11.2555370674637,2.28893192428258e-26,4.33417684118643e-25,48.9643202605751
"EML1",-2.48216848012773,7.73105647500989,-11.2548172271904,2.30391007292013e-26,4.35862592629393e-25,48.9578635101902
"MTM1",-1.95403090715446,9.39821663160771,-11.2539605429048,2.32186266742919e-26,4.38865332497773e-25,48.9501796309811
"TPSG1",-3.86250802891374,6.49723229697346,-11.2522238028847,2.35868554525074e-26,4.45426256862301e-25,48.9346033162585
"SEMA3G",-2.80965950179973,7.215892715153,-11.2510900724175,2.3830358784547e-26,4.49622171915237e-25,48.9244359914372
"CCDC178",-2.31531852609808,1.71420896319628,-11.2500517679489,2.40555584670967e-26,4.53465549870365e-25,48.9151249853309
"EPIST",-2.3624214790763,2.82772497518015,-11.2488953895403,2.4308858772624e-26,4.57831309776546e-25,48.9047557530236
"GSTA1",-3.99444071796775,4.38445387645953,-11.2486527905125,2.43623347693058e-26,4.58429161127329e-25,48.9025804509033
"UTS2B",-2.42560004040218,1.83383358911622,-11.2465139049745,2.48388986906713e-26,4.6698015060697e-25,48.8834030099908
"HSPA2",-2.55891966300172,9.12020736777891,-11.2445449990161,2.52857777606685e-26,4.74958322425237e-25,48.8657515441458
"UNC79",-1.96423424817982,3.58341898626804,-11.2416303031571,2.59620372214501e-26,4.87227057961982e-25,48.8396243493608
"PLSCR4",-2.35313070707686,8.84205577112081,-11.2403978453116,2.62533700869008e-26,4.92256523211631e-25,48.8285778718007
"SLC41A2",-2.27387545142982,9.16074449730406,-11.2382431986483,2.67705229929945e-26,5.01507470705352e-25,48.8092675838897
"OSR1",-3.51915864037107,4.64556507221382,-11.2357464725231,2.73824610144768e-26,5.12516089298469e-25,48.7868942891454
"RHOU",-2.06063076790337,10.0002237255873,-11.2304149402956,2.87361503666075e-26,5.37376201979803e-25,48.7391280850017
"PNOC",-3.11593315021199,3.5632084160859,-11.2299246706479,2.8863922435593e-26,5.39287493229759e-25,48.734736346509
"SCTR",-2.80594185576735,2.47668422860544,-11.2267474047305,2.97057706277496e-26,5.54525243913054e-25,48.7062778038576
"SLC35G1",-1.95174192564397,8.40847616848099,-11.2261728095771,2.98606012747206e-26,5.56922655427901e-25,48.7011317101362
"MPND",-1.63860978930592,9.78120950284475,-11.2247520929694,3.02468813173024e-26,5.63628723062878e-25,48.6884083996949
"OCEL1",-1.6658760125112,8.80848857557087,-11.2223815689308,3.09024967495217e-26,5.75337393145994e-25,48.6671811762831
"VSIG2",-4.72715021671181,8.47398701499526,-11.2190189951691,3.18567879159575e-26,5.92581203085721e-25,48.6370750884897
"DPP10",-4.74367323341324,3.81370997456839,-11.2172377103801,3.23741260000782e-26,6.01673844797929e-25,48.6211289207421
"MASP1",-4.04703868786264,5.49724561514333,-11.213852635631,3.33803803813192e-26,6.19828999791855e-25,48.5908297036794
"TP73-AS1",-2.35177241700548,6.61246030451223,-11.2113647778599,3.41396946395923e-26,6.3337090477358e-25,48.5685648087058
"MGST3",-1.40371694548718,11.7466864493904,-11.2102385466381,3.44890523534035e-26,6.39290044237867e-25,48.5584866596785
"PIGZ",-2.53863495979537,9.73053818590809,-11.2060820952152,3.58094299966015e-26,6.63181840516517e-25,48.5212976455703
