,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
4031,SYTL3,1.184,0.968,1.448,1.184[0.968:1.448],0.101
4032,TFEB,1.125,0.889,1.423,1.125[0.889:1.423],0.327
4033,FHIP1A.DT,0.958,0.825,1.113,0.958[0.825:1.113],0.575
4034,SNORA71A,1.068,0.952,1.198,1.068[0.952:1.198],0.263
4035,CHTF18,1.178,0.952,1.459,1.178[0.952:1.459],0.132
4036,ARL6IP5,1.027,0.816,1.292,1.027[0.816:1.292],0.823
4037,AP5B1,1.146,0.903,1.454,1.146[0.903:1.454],0.263
4038,CALM3,1.107,0.878,1.395,1.107[0.878:1.395],0.39
4039,FXYD6.AS1,1.018,0.877,1.182,1.018[0.877:1.182],0.812
4040,AXDND1,0.972,0.889,1.063,0.972[0.889:1.063],0.532
4041,SGCB,1.012,0.84,1.218,1.012[0.84:1.218],0.904
4042,SMCO2,0.99,0.84,1.167,0.99[0.84:1.167],0.905
4043,KLRC4.KLRK1,0.993,0.847,1.165,0.993[0.847:1.165],0.935
4044,RMND5A,1.144,0.916,1.428,1.144[0.916:1.428],0.236
4045,AGAP1.IT1,0.946,0.812,1.102,0.946[0.812:1.102],0.474
4046,TPRN,1.144,0.909,1.441,1.144[0.909:1.441],0.252
4047,CD3D,0.947,0.816,1.098,0.947[0.816:1.098],0.47
4048,KBTBD12,0.996,0.927,1.071,0.996[0.927:1.071],0.917
4049,LMTK2,1.106,0.902,1.357,1.106[0.902:1.357],0.331
4050,LINC01711,1.114,0.963,1.288,1.114[0.963:1.288],0.146
4051,SLC14A2,1.032,0.937,1.136,1.032[0.937:1.136],0.523
4052,GCSAM,1.041,0.892,1.215,1.041[0.892:1.215],0.61
4053,FTH1P11,0.987,0.848,1.149,0.987[0.848:1.149],0.864
4054,EFCAB13.DT,0.881,0.738,1.052,0.881[0.738:1.052],0.161
4055,OTUD7B,1.119,0.906,1.381,1.119[0.906:1.381],0.297
4056,TFAP2A.AS1,1.007,0.903,1.123,1.007[0.903:1.123],0.899
4057,CCDC32,1.221,0.964,1.545,1.221[0.964:1.545],0.097
4058,CYB5D2,1.128,0.905,1.407,1.128[0.905:1.407],0.284
4059,SAMD4A,1.105,0.945,1.294,1.105[0.945:1.294],0.211
4060,PCDHB5,1.135,0.99,1.301,1.135[0.99:1.301],0.069
4061,LMO7.AS1,1.116,0.954,1.305,1.116[0.954:1.305],0.17
4062,LILRA1,1.011,0.877,1.165,1.011[0.877:1.165],0.884
4063,PKD2L2.DT,1.007,0.881,1.152,1.007[0.881:1.152],0.915
4064,PGRMC2,1.018,0.81,1.28,1.018[0.81:1.28],0.877
4065,ZNF658,1.012,0.845,1.211,1.012[0.845:1.211],0.898
4066,LINC03021,1.03,0.916,1.158,1.03[0.916:1.158],0.618
4067,SLC1A3.AS1,1.008,0.865,1.175,1.008[0.865:1.175],0.918
4068,DMPK,1.325,1.082,1.623,1.325[1.082:1.623],0.006
4069,RERE.AS1,1.004,0.846,1.191,1.004[0.846:1.191],0.963
4070,IGSF5,1.08,0.918,1.27,1.08[0.918:1.27],0.356
4071,TSKS,1.138,0.975,1.327,1.138[0.975:1.327],0.1
4072,SLC25A18,1.119,0.896,1.397,1.119[0.896:1.397],0.322
4073,CHST2,0.962,0.801,1.157,0.962[0.801:1.157],0.683
4074,NTRK2,1.105,1.021,1.195,1.105[1.021:1.195],0.013
4075,TMEM221,1.184,0.992,1.414,1.184[0.992:1.414],0.061
4076,IFIT1,1.034,0.915,1.168,1.034[0.915:1.168],0.589
4077,CEP72.DT,1.143,0.99,1.319,1.143[0.99:1.319],0.067
4078,MAN2B1,1.167,0.936,1.456,1.167[0.936:1.456],0.17
4079,C2.AS1,1.05,0.897,1.23,1.05[0.897:1.23],0.543
4080,EBF4,1.273,1.073,1.511,1.273[1.073:1.511],0.006
4081,NACC2,1.148,0.924,1.426,1.148[0.924:1.426],0.214
4082,SHOC2,1.012,0.844,1.212,1.012[0.844:1.212],0.901
4083,CTNNA2,1.036,0.96,1.118,1.036[0.96:1.118],0.365
4084,ATOH8,1.073,0.949,1.214,1.073[0.949:1.214],0.261
4085,DPH1.AS1,1.083,0.876,1.338,1.083[0.876:1.338],0.462
4086,ZNF844,0.977,0.864,1.104,0.977[0.864:1.104],0.706
4087,TRBV28,0.971,0.844,1.116,0.971[0.844:1.116],0.676
4088,SH2B3,1.136,0.933,1.384,1.136[0.933:1.384],0.203
4089,PKP1,1.062,0.959,1.177,1.062[0.959:1.177],0.249
4090,ZNF658B,0.988,0.847,1.152,0.988[0.847:1.152],0.879
4091,STAM2,1.025,0.835,1.259,1.025[0.835:1.259],0.813
4092,ZCCHC24,1.037,0.898,1.198,1.037[0.898:1.198],0.618
4093,SIGLEC10,1.045,0.915,1.193,1.045[0.915:1.193],0.516
4094,KLRG1,1.034,0.886,1.207,1.034[0.886:1.207],0.673
4095,KRAS,1.057,0.874,1.279,1.057[0.874:1.279],0.568
4096,SASH1,1.081,0.907,1.289,1.081[0.907:1.289],0.385
4097,IGLVI.70,0.974,0.885,1.073,0.974[0.885:1.073],0.599
4098,CDS1,0.93,0.77,1.122,0.93[0.77:1.122],0.446
4099,MITF,1.052,0.92,1.204,1.052[0.92:1.204],0.456
4100,KCNV1,1.026,0.949,1.109,1.026[0.949:1.109],0.517
4101,XPNPEP2,1.011,0.935,1.092,1.011[0.935:1.092],0.788
4102,USHBP1,1.196,0.991,1.442,1.196[0.991:1.442],0.062
4103,PPP1R13B,1.09,0.871,1.364,1.09[0.871:1.364],0.453
4104,CHRFAM7A,1.084,0.954,1.232,1.084[0.954:1.232],0.215
4105,METTL25,0.952,0.783,1.157,0.952[0.783:1.157],0.62
4106,MIR29B2CHG,1.132,0.981,1.307,1.132[0.981:1.307],0.09
4107,FCRL6,1.011,0.893,1.145,1.011[0.893:1.145],0.863
4108,TEX101,1.004,0.881,1.143,1.004[0.881:1.143],0.958
4109,GAK,1.061,0.848,1.328,1.061[0.848:1.328],0.605
4110,ADAMTS19,1.072,0.977,1.178,1.072[0.977:1.178],0.142
4111,CTDSP1,1.246,0.973,1.596,1.246[0.973:1.596],0.081
4112,PRRG4,1.095,0.893,1.341,1.095[0.893:1.341],0.383
4113,FXYD7,1.231,1.02,1.486,1.231[1.02:1.486],0.031
4114,RPL38P2,0.951,0.841,1.076,0.951[0.841:1.076],0.429
4115,PLEKHF2,1.011,0.831,1.23,1.011[0.831:1.23],0.911
4116,GRN,1.212,0.945,1.553,1.212[0.945:1.553],0.13
4117,UBE2J1,0.968,0.783,1.196,0.968[0.783:1.196],0.761
4118,NLRX1,1.12,0.893,1.405,1.12[0.893:1.405],0.326
4119,SMTN,1.09,0.891,1.334,1.09[0.891:1.334],0.403
4120,GPBAR1,1.123,0.953,1.322,1.123[0.953:1.322],0.165
4121,MEF2A,1.116,0.915,1.361,1.116[0.915:1.361],0.278
4122,PRUNE2,1.026,0.91,1.156,1.026[0.91:1.156],0.676
4123,MRPS36,0.918,0.753,1.12,0.918[0.753:1.12],0.399
4124,AGL,1.002,0.845,1.187,1.002[0.845:1.187],0.984
4125,B4GALT1,1.046,0.841,1.302,1.046[0.841:1.302],0.685
4126,SELENOM,1.14,0.942,1.379,1.14[0.942:1.379],0.177
4127,ADGRA3,0.964,0.792,1.174,0.964[0.792:1.174],0.718
4128,PURG,1.061,0.895,1.259,1.061[0.895:1.259],0.495
4129,PRR15,1.03,0.868,1.221,1.03[0.868:1.221],0.736
4130,SLC39A13.AS1,1.057,0.93,1.202,1.057[0.93:1.202],0.395
4131,CASC8,1.064,0.943,1.201,1.064[0.943:1.201],0.313
4132,KRT8P24,1.037,0.909,1.182,1.037[0.909:1.182],0.59
4133,UBE2SP1,0.988,0.818,1.193,0.988[0.818:1.193],0.9
4134,URAD,0.982,0.923,1.046,0.982[0.923:1.046],0.574
4135,NPM1P25,0.939,0.811,1.088,0.939[0.811:1.088],0.402
4136,TRAPPC10,1.083,0.875,1.341,1.083[0.875:1.341],0.464
4137,UHRF1,1.007,0.842,1.205,1.007[0.842:1.205],0.936
4138,QRFP,1.205,1.017,1.427,1.205[1.017:1.427],0.031
4139,LGMN,1.091,0.872,1.365,1.091[0.872:1.365],0.444
4140,CLSTN2,1.022,0.924,1.13,1.022[0.924:1.13],0.675
4141,CDC42,0.954,0.791,1.15,0.954[0.791:1.15],0.619
4142,CLEC1A,1.058,0.901,1.242,1.058[0.901:1.242],0.49
4143,IRF2.DT,1.247,0.993,1.568,1.247[0.993:1.568],0.058
4144,UNC5CL,0.978,0.84,1.138,0.978[0.84:1.138],0.77
4145,HIBCH,1.044,0.864,1.26,1.044[0.864:1.26],0.657
4146,NUDT7,1.003,0.834,1.206,1.003[0.834:1.206],0.976
4147,PYHIN1,0.994,0.876,1.129,0.994[0.876:1.129],0.93
4148,KCNK12,1.132,0.976,1.313,1.132[0.976:1.313],0.102
4149,IGHD,1.024,0.95,1.103,1.024[0.95:1.103],0.536
4150,CHD5,1.174,1.024,1.347,1.174[1.024:1.347],0.022
4151,SPATA41,1.019,0.848,1.223,1.019[0.848:1.223],0.843
4152,FAXC,1.109,0.991,1.241,1.109[0.991:1.241],0.071
4153,DCAF5,1.148,0.92,1.431,1.148[0.92:1.431],0.222
4154,SATB2.AS1,0.981,0.898,1.071,0.981[0.898:1.071],0.665
4155,CEACAM22P,1.115,0.944,1.318,1.115[0.944:1.318],0.2
4156,PTENP1,1.108,0.952,1.289,1.108[0.952:1.289],0.186
4157,LINC01730,1.003,0.875,1.149,1.003[0.875:1.149],0.967
4158,KRT8,1.072,0.867,1.326,1.072[0.867:1.326],0.519
4159,E2F2,0.998,0.824,1.209,0.998[0.824:1.209],0.987
4160,ABHD17C,1.024,0.817,1.283,1.024[0.817:1.283],0.838
4161,PGPEP1,1.073,0.862,1.335,1.073[0.862:1.335],0.53
4162,MIR503HG,1.091,0.965,1.233,1.091[0.965:1.233],0.166
4163,MROH7,1.083,0.959,1.223,1.083[0.959:1.223],0.199
4164,LINC02569,1.04,0.86,1.259,1.04[0.86:1.259],0.683
4165,TRAV8.4,0.886,0.754,1.04,0.886[0.754:1.04],0.139
4166,ZBTB7A,1.099,0.87,1.389,1.099[0.87:1.389],0.428
4167,KCNJ14,1.278,1.058,1.544,1.278[1.058:1.544],0.011
4168,SYTL4,1.005,0.84,1.203,1.005[0.84:1.203],0.955
4169,CD8A,0.978,0.865,1.106,0.978[0.865:1.106],0.724
4170,COX10,1.005,0.796,1.268,1.005[0.796:1.268],0.968
4171,GOLGA8N,1.035,0.917,1.168,1.035[0.917:1.168],0.573
4172,TRPC1,1.088,0.948,1.249,1.088[0.948:1.249],0.231
4173,SIT1,0.98,0.848,1.134,0.98[0.848:1.134],0.787
4174,ASIC1,1.114,0.938,1.323,1.114[0.938:1.323],0.217
4175,ZIC5,1.049,0.987,1.113,1.049[0.987:1.113],0.122
4176,ADSS1,1.165,1.005,1.351,1.165[1.005:1.351],0.043
4177,GLB1L3,1.002,0.848,1.184,1.002[0.848:1.184],0.98
4178,VCL,1.088,0.896,1.322,1.088[0.896:1.322],0.394
4179,MYL12B,1.088,0.86,1.376,1.088[0.86:1.376],0.481
4180,SLC25A24,0.956,0.808,1.131,0.956[0.808:1.131],0.598
4181,MYADML2,0.985,0.894,1.085,0.985[0.894:1.085],0.753
4182,CAMK1,1.013,0.813,1.261,1.013[0.813:1.261],0.91
4183,PPM1L,1.028,0.872,1.214,1.028[0.872:1.214],0.74
4184,PHACTR1,1.09,0.916,1.297,1.09[0.916:1.297],0.33
4185,TM6SF1,1.027,0.894,1.18,1.027[0.894:1.18],0.706
4186,PYROXD1,1.015,0.843,1.222,1.015[0.843:1.222],0.878
4187,LINC01559,1.053,0.934,1.187,1.053[0.934:1.187],0.401
4188,PTEN,1.114,0.924,1.342,1.114[0.924:1.342],0.257
4189,SLC7A2,1.031,0.927,1.146,1.031[0.927:1.146],0.579
4190,NBL1,1.097,0.891,1.35,1.097[0.891:1.35],0.383
4191,NBR1,1.032,0.851,1.253,1.032[0.851:1.253],0.746
4192,LEF1.AS1,1.145,0.956,1.373,1.145[0.956:1.373],0.141
4193,IGHJ1,0.961,0.859,1.075,0.961[0.859:1.075],0.486
4194,TRIOBP,1.066,0.855,1.331,1.066[0.855:1.331],0.57
4195,PTPRN2.AS1,1.052,0.894,1.237,1.052[0.894:1.237],0.541
4196,IRF2,1.121,0.889,1.412,1.121[0.889:1.412],0.334
4197,MT3,1.016,0.928,1.111,1.016[0.928:1.111],0.735
4198,RNF5P1,1.046,0.897,1.221,1.046[0.897:1.221],0.564
4199,JDP2,1.331,1.058,1.675,1.331[1.058:1.675],0.015
4200,CLIC6,0.993,0.883,1.118,0.993[0.883:1.118],0.91
4201,ATP6V1FNB,1.128,0.96,1.324,1.128[0.96:1.324],0.143
4202,GABRB2,1.013,0.936,1.097,1.013[0.936:1.097],0.741
4203,IL2RB,0.992,0.864,1.139,0.992[0.864:1.139],0.912
4204,CBR1,0.998,0.806,1.236,0.998[0.806:1.236],0.983
4205,MYLK3,1.074,0.901,1.28,1.074[0.901:1.28],0.428
4206,CD164,1.017,0.832,1.244,1.017[0.832:1.244],0.868
4207,IGKV2.29,0.952,0.871,1.04,0.952[0.871:1.04],0.274
4208,FFAR4,0.964,0.871,1.067,0.964[0.871:1.067],0.474
4209,RFC3,1.028,0.849,1.245,1.028[0.849:1.245],0.778
4210,KRTAP5.4,1.001,0.866,1.158,1.001[0.866:1.158],0.989
4211,LINC01160,1.147,0.967,1.36,1.147[0.967:1.36],0.115
4212,S1PR1.DT,1.098,0.922,1.308,1.098[0.922:1.308],0.292
4213,SLC29A4,1.178,1.026,1.353,1.178[1.026:1.353],0.02
4214,TRIM52.AS1,1.082,0.858,1.364,1.082[0.858:1.364],0.507
4215,SLC5A10,1.114,0.933,1.331,1.114[0.933:1.331],0.233
4216,ITK,1.005,0.881,1.147,1.005[0.881:1.147],0.937
4217,DNAH2,1.041,0.916,1.183,1.041[0.916:1.183],0.538
4218,SLCO4A1.AS1,1.104,0.995,1.226,1.104[0.995:1.226],0.062
4219,ZNF354C,1.04,0.923,1.173,1.04[0.923:1.173],0.519
4220,LINC00528,1.091,0.926,1.284,1.091[0.926:1.284],0.299
4221,SNX6,1.008,0.825,1.23,1.008[0.825:1.23],0.939
4222,CYP27C1,1.056,0.925,1.205,1.056[0.925:1.205],0.419
4223,METTL7B,1.065,0.89,1.274,1.065[0.89:1.274],0.493
4224,TTC30A,1.099,0.926,1.303,1.099[0.926:1.303],0.28
4225,FZD4,1.152,0.964,1.377,1.152[0.964:1.377],0.119
4226,CARNS1,1.138,0.974,1.329,1.138[0.974:1.329],0.103
4227,SORT1,0.934,0.758,1.15,0.934[0.758:1.15],0.518
4228,BANK1,1.049,0.923,1.193,1.049[0.923:1.193],0.465
4229,SNAI3,1.101,0.939,1.291,1.101[0.939:1.291],0.238
4230,NFATC1,1.182,1.021,1.368,1.182[1.021:1.368],0.026
4231,SCARB2,1.016,0.834,1.238,1.016[0.834:1.238],0.877
4232,ZSCAN16.AS1,1.209,0.98,1.492,1.209[0.98:1.492],0.076
4233,ARNT,1.122,0.898,1.403,1.122[0.898:1.403],0.309
4234,DIRAS3,1.055,0.908,1.226,1.055[0.908:1.226],0.484
4235,MMP20.AS1,1,0.906,1.105,1[0.906:1.105],0.994
4236,AP4S1,1.057,0.868,1.287,1.057[0.868:1.287],0.584
4237,ZNF655,1.026,0.898,1.173,1.026[0.898:1.173],0.702
4238,STX19,0.993,0.864,1.14,0.993[0.864:1.14],0.917
4239,EPHB6,1.104,1.002,1.217,1.104[1.002:1.217],0.046
4240,TEX45,0.972,0.833,1.134,0.972[0.833:1.134],0.718
4241,PHLPP1,1.057,0.848,1.317,1.057[0.848:1.317],0.622
4242,RFX8,1.081,0.923,1.266,1.081[0.923:1.266],0.335
4243,MRGBP,1.13,0.899,1.42,1.13[0.899:1.42],0.294
4244,TRBV12.4,1.009,0.861,1.182,1.009[0.861:1.182],0.91
4245,SNORD60,1.116,0.916,1.36,1.116[0.916:1.36],0.275
4246,SFRP2,1.098,1.022,1.18,1.098[1.022:1.18],0.011
4247,GBP3,0.97,0.852,1.104,0.97[0.852:1.104],0.644
4248,GPSM3,1.053,0.864,1.283,1.053[0.864:1.283],0.611
4249,APOBEC3D,1.099,0.936,1.29,1.099[0.936:1.29],0.25
4250,NDUFA6.DT,1.066,0.882,1.288,1.066[0.882:1.288],0.507
4251,PPARA,1.064,0.874,1.294,1.064[0.874:1.294],0.537
4252,DIP2C,1.121,0.949,1.324,1.121[0.949:1.324],0.179
4253,KCNN1,1.094,0.922,1.3,1.094[0.922:1.3],0.303
4254,PTBP1P,1.046,0.892,1.227,1.046[0.892:1.227],0.58
4255,CLDN14,1.027,0.92,1.147,1.027[0.92:1.147],0.633
4256,MET,1.082,0.892,1.313,1.082[0.892:1.313],0.423
4257,HLA.DOA,1.04,0.925,1.169,1.04[0.925:1.169],0.516
4258,ANO4,1.11,0.963,1.28,1.11[0.963:1.28],0.148
4259,C1orf162,1.101,0.947,1.28,1.101[0.947:1.28],0.209
4260,HECTD2,1.09,0.941,1.262,1.09[0.941:1.262],0.252
4261,HLA.E,1.078,0.867,1.341,1.078[0.867:1.341],0.5
4262,OTUD1,1.128,0.903,1.409,1.128[0.903:1.409],0.29
4263,CTF1,1.156,1.009,1.323,1.156[1.009:1.323],0.036
4264,HSPA1L,1.332,1.053,1.684,1.332[1.053:1.684],0.017
4265,BLNK,0.947,0.819,1.094,0.947[0.819:1.094],0.458
4266,OSGIN1,1.171,0.968,1.417,1.171[0.968:1.417],0.104
4267,QKI,1.048,0.908,1.211,1.048[0.908:1.211],0.52
4268,TRBV5.6,1.092,0.938,1.273,1.092[0.938:1.273],0.257
4269,AAMDC,1.136,0.903,1.429,1.136[0.903:1.429],0.276
4270,TPX2,0.985,0.826,1.174,0.985[0.826:1.174],0.864
4271,ATP1A3,1.09,0.971,1.223,1.09[0.971:1.223],0.145
4272,EPYC,1.036,0.96,1.118,1.036[0.96:1.118],0.369
4273,ZDHHC2,0.927,0.815,1.056,0.927[0.815:1.056],0.254
4274,UBASH3A,0.947,0.819,1.094,0.947[0.819:1.094],0.458
4275,ZP1,1.045,0.856,1.274,1.045[0.856:1.274],0.668
4276,TLR5,1.049,0.902,1.221,1.049[0.902:1.221],0.534
4277,MTUS2,1.058,0.934,1.2,1.058[0.934:1.2],0.374
4278,SH3GLB1,0.973,0.79,1.198,0.973[0.79:1.198],0.796
4279,GRIK4,1.12,0.97,1.292,1.12[0.97:1.292],0.123
4280,MIR635,0.969,0.823,1.14,0.969[0.823:1.14],0.7
4281,UBE2G1,1.062,0.843,1.337,1.062[0.843:1.337],0.61
4282,LINC01843,0.939,0.785,1.124,0.939[0.785:1.124],0.495
4283,ALAS2,1.143,0.992,1.317,1.143[0.992:1.317],0.064
4284,CASS4,0.951,0.825,1.096,0.951[0.825:1.096],0.484
4285,TRPC2,1.158,0.976,1.374,1.158[0.976:1.374],0.094
4286,TRBC1,1.016,0.871,1.186,1.016[0.871:1.186],0.84
4287,SPESP1,1.092,0.969,1.232,1.092[0.969:1.232],0.149
4288,SHH,0.912,0.79,1.054,0.912[0.79:1.054],0.212
4289,PAH,0.964,0.898,1.035,0.964[0.898:1.035],0.317
4290,LINC02724,1.199,1.015,1.417,1.199[1.015:1.417],0.033
4291,WASF2,1.006,0.816,1.24,1.006[0.816:1.24],0.956
4292,ITIH3,1.109,0.961,1.279,1.109[0.961:1.279],0.158
4293,CRYBG3,1.093,0.943,1.267,1.093[0.943:1.267],0.238
4294,SMAP2,1.1,0.872,1.388,1.1[0.872:1.388],0.422
4295,KCNJ5,1.148,1.02,1.292,1.148[1.02:1.292],0.022
4296,USP53,0.925,0.788,1.087,0.925[0.788:1.087],0.345
4297,OSBPL6,1.091,0.961,1.238,1.091[0.961:1.238],0.181
4298,DENND3,1.122,0.913,1.38,1.122[0.913:1.38],0.273
4299,AKNA,1.11,0.898,1.373,1.11[0.898:1.373],0.334
4300,DBNDD2,1.101,0.906,1.338,1.101[0.906:1.338],0.332
4301,HOMER1,0.971,0.837,1.127,0.971[0.837:1.127],0.701
4302,ANKRD6,1.209,1.044,1.401,1.209[1.044:1.401],0.011
4303,ITFG1,1.032,0.839,1.27,1.032[0.839:1.27],0.764
4304,PTK6,1.091,0.906,1.313,1.091[0.906:1.313],0.36
4305,IRF1.AS1,1.024,0.843,1.244,1.024[0.843:1.244],0.812
4306,ABCC6,0.944,0.816,1.092,0.944[0.816:1.092],0.438
4307,PGAP3,1.135,0.953,1.353,1.135[0.953:1.353],0.156
4308,FAM162B,1.069,0.9,1.27,1.069[0.9:1.27],0.449
4309,LPO,1.101,1.007,1.204,1.101[1.007:1.204],0.035
4310,MAVS,1.15,0.937,1.411,1.15[0.937:1.411],0.182
4311,COX7C,0.977,0.785,1.215,0.977[0.785:1.215],0.835
4312,ALOX12.AS1,1.228,0.979,1.54,1.228[0.979:1.54],0.076
4313,MT.TP,1.021,0.882,1.181,1.021[0.882:1.181],0.784
4314,MAGIX,0.976,0.842,1.132,0.976[0.842:1.132],0.751
4315,LDB2,1.098,0.933,1.292,1.098[0.933:1.292],0.261
4316,INKA2,1.01,0.844,1.209,1.01[0.844:1.209],0.911
4317,ARHGEF11,1.1,0.89,1.36,1.1[0.89:1.36],0.378
4318,CYTIP,1.071,0.926,1.237,1.071[0.926:1.237],0.355
4319,SKAP2,1.032,0.869,1.225,1.032[0.869:1.225],0.723
4320,AGAP1,1.08,0.868,1.344,1.08[0.868:1.344],0.49
4321,SPAG7,1.192,0.948,1.497,1.192[0.948:1.497],0.133
4322,TUBA1A,1.067,0.901,1.264,1.067[0.901:1.264],0.453
4323,MCC,1.048,0.907,1.21,1.048[0.907:1.21],0.527
4324,LYSMD3,0.99,0.841,1.167,0.99[0.841:1.167],0.909
4325,LY75.CD302,1.131,0.953,1.344,1.131[0.953:1.344],0.16
4326,EPHA3,1.014,0.895,1.149,1.014[0.895:1.149],0.827
4327,SELP,1.026,0.933,1.128,1.026[0.933:1.128],0.597
4328,SATB2,0.966,0.857,1.089,0.966[0.857:1.089],0.567
4329,RORA,1.013,0.879,1.168,1.013[0.879:1.168],0.854
4330,RNF186.AS1,1.093,0.943,1.268,1.093[0.943:1.268],0.238
4331,MT1XP1,0.988,0.812,1.203,0.988[0.812:1.203],0.906
4332,SLC17A9,1.079,0.949,1.228,1.079[0.949:1.228],0.245
4333,BGN,1.156,1.015,1.318,1.156[1.015:1.318],0.029
4334,SNORD48,1.101,0.903,1.342,1.101[0.903:1.342],0.341
4335,CNDP2,1.086,0.866,1.361,1.086[0.866:1.361],0.476
4336,MICAL3,1.017,0.859,1.203,1.017[0.859:1.203],0.849
4337,SLC6A17,1.178,1.04,1.336,1.178[1.04:1.336],0.01
4338,CALM2,1.021,0.825,1.265,1.021[0.825:1.265],0.846
4339,LY6G6F.LY6G6D,0.989,0.934,1.048,0.989[0.934:1.048],0.714
4340,C17orf107,1.174,0.994,1.388,1.174[0.994:1.388],0.06
4341,NHEJ1,1.024,0.84,1.249,1.024[0.84:1.249],0.814
4342,RASAL3,1.085,0.918,1.283,1.085[0.918:1.283],0.339
4343,IL23R,0.963,0.83,1.118,0.963[0.83:1.118],0.623
4344,RRAS2,1.123,0.95,1.328,1.123[0.95:1.328],0.173
4345,RAP1B,1.021,0.808,1.289,1.021[0.808:1.289],0.862
4346,NARF.AS2,0.972,0.808,1.169,0.972[0.808:1.169],0.761
4347,CALD1,1.078,0.944,1.231,1.078[0.944:1.231],0.268
4348,LINC00639,1.035,0.907,1.181,1.035[0.907:1.181],0.607
4349,CIB2,1.021,0.864,1.207,1.021[0.864:1.207],0.805
4350,XIRP1,1.062,0.947,1.191,1.062[0.947:1.191],0.306
4351,MAB21L3,0.956,0.849,1.076,0.956[0.849:1.076],0.456
4352,CHMP2B,0.939,0.775,1.136,0.939[0.775:1.136],0.516
4353,WASHC2A,1.03,0.861,1.232,1.03[0.861:1.232],0.746
4354,MBL1P,1.205,1.023,1.42,1.205[1.023:1.42],0.026
4355,ACAA2P1,1.054,0.878,1.265,1.054[0.878:1.265],0.574
4356,ZNF350,0.979,0.85,1.128,0.979[0.85:1.128],0.773
4357,ARV1,0.94,0.759,1.165,0.94[0.759:1.165],0.572
4358,DLEC1,1.09,0.93,1.276,1.09[0.93:1.276],0.288
4359,SHISAL2A,1.11,0.954,1.292,1.11[0.954:1.292],0.176
4360,POU6F1,1.22,1.009,1.476,1.22[1.009:1.476],0.04
4361,ENDOV,1.283,1.024,1.608,1.283[1.024:1.608],0.03
4362,CPLX2,1.003,0.919,1.096,1.003[0.919:1.096],0.939
4363,OSBPL3,1.197,0.979,1.463,1.197[0.979:1.463],0.079
4364,PACC1,0.997,0.785,1.267,0.997[0.785:1.267],0.982
4365,SLC35A1,1.028,0.85,1.242,1.028[0.85:1.242],0.778
4366,INSR,1.238,0.993,1.545,1.238[0.993:1.545],0.058
4367,SLITRK6,0.995,0.926,1.068,0.995[0.926:1.068],0.881
4368,ACOT1,0.94,0.805,1.097,0.94[0.805:1.097],0.432
4369,MFAP2,1.084,0.936,1.255,1.084[0.936:1.255],0.282
4370,GPNMB,1.068,0.952,1.198,1.068[0.952:1.198],0.263
4371,SOX6,0.978,0.862,1.109,0.978[0.862:1.109],0.726
4372,TRBC2,0.964,0.828,1.123,0.964[0.828:1.123],0.639
4373,PTGER3,1.074,0.955,1.208,1.074[0.955:1.208],0.233
4374,FAM53B,1.173,0.942,1.461,1.173[0.942:1.461],0.154
4375,KIF16B,1.033,0.854,1.249,1.033[0.854:1.249],0.739
4376,RPL21P137,0.965,0.809,1.151,0.965[0.809:1.151],0.689
4377,DSG3,1.032,0.96,1.111,1.032[0.96:1.111],0.393
4378,FAM149A,1.01,0.893,1.143,1.01[0.893:1.143],0.87
4379,FBXL14,1.181,0.935,1.492,1.181[0.935:1.492],0.163
4380,PHLDB2,1.094,0.962,1.244,1.094[0.962:1.244],0.169
4381,VCAM1,1,0.871,1.149,1[0.871:1.149],0.995
4382,ZNF43,0.992,0.901,1.092,0.992[0.901:1.092],0.868
4383,PMAIP1,1.041,0.874,1.24,1.041[0.874:1.24],0.652
4384,ZEB2.AS1,1.044,0.879,1.239,1.044[0.879:1.239],0.625
4385,JAKMIP2,1.059,0.936,1.198,1.059[0.936:1.198],0.361
4386,COL4A4,0.994,0.89,1.109,0.994[0.89:1.109],0.91
4387,IFITM3P4,0.948,0.816,1.101,0.948[0.816:1.101],0.481
4388,RAB36,0.922,0.784,1.085,0.922[0.784:1.085],0.328
4389,KHDC1.AS1,1.075,0.928,1.244,1.075[0.928:1.244],0.334
4390,ABCG4,1.172,0.966,1.421,1.172[0.966:1.421],0.108
4391,DTX3,1.165,0.994,1.366,1.165[0.994:1.366],0.06
4392,ZNF660,1.025,0.895,1.174,1.025[0.895:1.174],0.717
4393,DCTN1,1.252,0.987,1.588,1.252[0.987:1.588],0.064
4394,IGHJ2,0.968,0.883,1.062,0.968[0.883:1.062],0.496
4395,CLDN14.AS1,1.094,0.937,1.277,1.094[0.937:1.277],0.256
4396,HPD,1.206,1.014,1.434,1.206[1.014:1.434],0.034
4397,SNHG1,1.13,0.929,1.375,1.13[0.929:1.375],0.221
4398,SH3PXD2A.AS1,1.022,0.907,1.152,1.022[0.907:1.152],0.715
4399,CHRM3.AS2,0.962,0.844,1.095,0.962[0.844:1.095],0.555
4400,SOX18,1.21,0.985,1.486,1.21[0.985:1.486],0.069
4401,FAR2,0.932,0.778,1.117,0.932[0.778:1.117],0.447
4402,ZBTB4,1.177,0.969,1.429,1.177[0.969:1.429],0.101
4403,RXFP1,1.051,0.906,1.22,1.051[0.906:1.22],0.508
